Comment,Designator,Footprint,LCSC Part #
,D11,SMA-DIODE,C698873
0R1,R1 R2 R3,1206,C188071
1EDN8511BXUSA1,U2,SOT95P280X145-6N-7-V,C3655509
1K,R5 R8 R40,0603-RES,C21190
1uF,C34 C36 C46,0603-CAP,C15849
2A,D10,SMA-DIODE,C698873
2K2,R9 R11 R22 R24 R27 R38 R39 R41 R42 R43,0603-RES,C4190
2N7002K,Q5,SOT23-3,C5224211;C54347659
3R6,R15 R17,0603-RES,C54921041
3V6,D12,SOD-323,C840638
3n3,C8 C41 C58,0603-CAP,C1613
4K3,R30,0603-RES,C2933230
4K7,R16 R18 R28 R29 R33 R34 R35 R36 R44,0603-RES,C23162
4u7 IHLP2525CZ,L2,IND_IHLP-2525CZ_VIS-M,C845027
6K8,R4,0603-RES,C23212
10p,C55 C56,0603-CAP,C1634
10pF 500V,C33,0805,C6629873
10u,C57,1206,C13585
10u,C45,EIA3216,C13585
10u,C5 C43 C44 C61,EIA3216-KIT,C13585
15V,TVS4,SOD-323,C2987151
22K,R7 R23 R26,0603-RES,C31850
22,R21,0603-RES,C23345
26K,R47,0603-RES,C23356
27.12 MHz 10pF,Y1,XTAL-4SMD-3.2X2.5-V2,C1986817
33nF,C42,0603-CAP,C21117
40V,TVS3 TVS5,SMA,C113970
47pF 1000V,C20 C21 C22 C23 C24 C25 C27 C28 C29 C30 C31,0805,C6366545
82K,R25,0603-RES,C23254
100n,C7 C35 C47 C48 C49 C50 C51 C52 C53 C54 C59 C60,0603-CAP,C14663
100nF,C1,0603-CAP,C14663
100nF,C9 C10 C11 C12 C37 C38,0805,C5182461
100pF,C39 C40,0805,C6958299
100pF 1000V,C13 C14 C15 C16 C17 C18 C26,0805,C6958299
100,R10 R14 R31 R32,0603-RES,C22775
150 2W,R12,R2512,C175287
270K,R6,0603-RES,C137755
470,R19 R45,0603-RES,C23179
4148,D5 D6 D7 D8,SOD123FL,C917030
AP53781,U5,QFN-16,C52730979
BC846B,Q3,SOT23-3,C181138
BZT52C22,D2,SOD123FL,C173423
ES1J,D4,SMA-DIODE,C64879
G3404,Q7,SOT23-3,C96615
INA138,U3,SOT95P280X145-5N,C47914
LM74700QDBVTQ1,U4,SOT95P280X145-6N,C2653623
SD103A,D3,SOD-323,C7420360
SM15T150CA,TVS1,SMC,C133715
SMBJ15CA,TVS2,SMA-DIODE,C78809
STANDOFF-M2.5-4.5MMHEX,STANDOFF1 STANDOFF2,STANDOFF-M2.5-4.5MMHEX,
STM32F030F4P6,U7,SOP65P640X120-20N,C2969989
STPS3L60S,D1,SMC,C2971007
STPS0540Z,D9,SOD123FL,C181835
TPS54560DDA,U1,VREG_LM5017MR/NOPB,C31966
